Page                     Page Rank                No. of Outlinks          No. of Inlinks           
WT21-B37-76              0.0026944721928214834    5                        2568                     
WT21-B37-75              0.001533177862855843     1                        1704                     
WT25-B39-116             0.0014685057966207363    1                        169                      
WT23-B21-53              0.0013735300824350121    1                        198                      
WT24-B26-10              0.0012761905000566024    1                        291                      
WT24-B40-171             0.0012452395797638502    209                      270                      
WT23-B39-340             0.0012428403825888571    395                      274                      
WT23-B37-134             0.001205424961990078     2                        207                      
WT08-B18-400             0.0011447767580613625    0                        990                      
WT13-B06-284             0.0011365537349822701    2                        454                      
WT13-B06-273             0.0010549206571305273    11                       452                      
WT01-B18-225             0.0009553815023969677    0                        1137                     
WT04-B27-720             0.000940959307140575     27                       291                      
WT24-B26-46              0.0008622341748462098    3                        179                      
WT23-B19-156             0.0008250688886104054    12                       364                      
WT04-B30-12              0.0008166221014855997    8                        241                      
WT25-B15-307             0.000797223205479538     8                        605                      
WT07-B18-256             0.0007749863183362082    169                      169                      
WT24-B40-167             0.0007075926906185254    152                      153                      
WT14-B03-220             0.0006988523521051158    162                      163                      
WT18-B31-240             0.0006942222412473176    31                       259                      
WT14-B03-227             0.000685264330905691     147                      148                      
WT04-B40-202             0.0006846776005799307    36                       322                      
WT08-B19-222             0.0006495322976686874    1                        1041                     
WT23-B20-363             0.0006396312842787292    193                      181                      
WT27-B28-203             0.0006270792064078224    2                        589                      
WT13-B39-295             0.000621536291232613     19                       443                      
WT13-B15-160             0.0006198583337838077    0                        484                      
WT12-B30-56              0.0006024568882812263    7                        174                      
WT10-B02-288             0.0005844499755885857    18                       193                      
WT14-B36-337             0.0005617088922018447    5                        417                      
WT21-B40-37              0.0005471874536775305    0                        201                      
WT21-B35-155             0.0005456982810309237    7                        174                      
WT23-B01-40              0.0005408495851816497    39                       147                      
WT08-B08-60              0.0005361199215914047    39                       175                      
WT22-B38-403             0.0005335774773715933    27                       273                      
WT13-B39-321             0.0005328919518072521    19                       52                       
WT04-B22-268             0.0005328439649666921    109                      113                      
WT14-B02-400             0.0005327635697798762    114                      115                      
WT18-B14-66              0.0005295564581253643    135                      150                      
WT06-B14-69              0.0005191635431572921    1                        57                       
WT23-B38-120             0.0005186640367361961    395                      116                      
WT06-B35-151             0.0005169272027790604    11                       255                      
WT10-B33-300             0.0005167737785520302    0                        406                      
WT14-B36-323             0.0005158634151509804    13                       368                      
WT14-B36-334             0.0005158634151509804    6                        368                      
WT14-B36-335             0.0005158634151509804    6                        368                      
WT14-B36-336             0.0005158634151509804    5                        368                      
WT06-B35-161             0.0005150212424136301    11                       253                      
WT27-B20-494             0.0005144777403579522    15                       121                      
WT23-B38-87              0.0005138122609611591    1                        1                        
WT27-B34-57              0.0005064135156940104    623                      630                      
WT27-B32-30              0.0005006797843586209    0                        628                      
WT04-B40-238             0.0004983037841321836    21                       311                      
WT23-B27-31              0.0004944024771826538    42                       194                      
WT07-B15-48              0.0004893737342269261    12                       235                      
WT21-B40-442             0.0004862008115113382    0                        4                        
WT11-B02-164             0.0004831909663493623    20                       183                      
WT21-B37-70              0.00047627577343442937   25                       3                        
WT21-B37-72              0.00047560820938064393   2                        2                        
WT22-B14-357             0.00047460386152949204   7                        280                      
WT04-B34-218             0.0004628770756845505    24                       141                      
WT14-B03-221             0.00046232962010149634   104                      105                      
WT12-B09-105             0.0004504806880813902    500                      234                      
WT15-B07-95              0.0004401291287842442    18                       205                      
WT21-B03-285             0.00042203651113074367   15                       189                      
WT18-B28-345             0.00042135595654025216   30                       250                      
WT27-B28-177             0.00041950331779885754   20                       461                      
WT11-B19-232             0.00041644932841486073   9                        161                      
WT11-B19-250             0.00041560462129938973   2                        160                      
WT20-B39-148             0.0004134337492987445    8                        168                      
WT25-B31-102             0.00040892653675233214   90                       90                       
WT23-B23-51              0.00040283640527531223   136                      400                      
WT21-B01-46              0.0003940343652758502    6                        154                      
WT14-B14-78              0.00039194540605504515   1                        64                       
WT06-B09-17              0.00038943782857556744   94                       101                      
WT23-B27-29              0.0003854903671711774    0                        388                      
WT06-B14-163             0.0003749879657268151    1                        44                       
WT10-B30-205             0.00037275691668232436   10                       157                      
WT12-B37-314             0.00037240255688164044   1                        45                       
WT13-B02-184             0.00037119469587884834   20                       159                      
WT13-B16-437             0.00037017641948644076   12                       291                      
WT08-B24-319             0.0003691044302275444    1                        287                      
WT12-B34-116             0.00036887602396063905   4                        178                      
WT24-B26-2               0.0003680174625157584    2                        320                      
WT25-B17-38              0.00036415675024825233   43                       161                      
WT20-B03-150             0.0003629067501746356    33                       145                      
WT14-B04-105             0.00035978119635374586   78                       79                       
WT07-B23-234             0.00035681846492271546   21                       234                      
WT14-B14-85              0.00035492544124071445   1                        4                        
WT22-B14-364             0.00035164183754974964   13                       189                      
WT16-B01-282             0.00034868539760949296   12                       58                       
WT18-B14-71              0.0003478726517288027    89                       100                      
WT13-B16-450             0.0003461793888281444    11                       291                      
WT25-B23-127             0.00034601249040186314   328                      169                      
WT09-B39-178             0.0003456351127030028    7                        77                       
WT12-B17-278             0.0003450698135213753    23                       78                       
WT13-B30-412             0.0003447564367085567    74                       75                       
WT21-B40-447             0.0003426363594194894    15                       779                      
WT23-B30-88              0.00033921768117891677   10                       477                      
WT04-B29-48              0.0003378052628674116    68                       68                       
WT13-B30-408             0.0003362137011487161    51                       114                      
WT18-B31-187             0.00033410067793350907   19                       159                      
WT08-B24-317             0.0003317683146629402    1                        2                        
WT07-B14-24              0.0003293480840148977    70                       70                       
WT11-B13-4               0.0003272023297817018    1                        40                       
WT12-B40-248             0.00032716564470695143   3                        357                      
WT24-B33-59              0.00032589022089509964   56                       53                       
WT13-B25-82              0.00032407757324948795   137                      146                      
WT18-B14-62              0.00032317731588112417   57                       76                       
WT06-B39-355             0.00032243013931441397   7                        178                      
WT13-B16-460             0.00032014097889003853   10                       199                      
WT18-B14-68              0.00031852508535458343   74                       81                       
WT26-B25-680             0.0003175107472360376    2                        81                       
WT15-B01-16              0.0003174436639051987    1                        37                       
