          id  spam  predict
inmail.10071     0  1.74648
inmail.49885     1  1.65551
inmail.49843     1  1.65551
inmail.26803     1  1.65046
inmail.13865     1  1.64508
inmail.52647     1  1.62505
inmail.29968     1  1.59439
inmail.13949     1  1.59439
inmail.22872     1  1.59057
inmail.49255     1  1.57421
 inmail.1583     1  1.55813
inmail.73000     1  1.49853
inmail.45142     1  1.45377
inmail.41946     1  1.44283
inmail.11540     1  1.43189
 inmail.9553     1  1.42952
inmail.44003     1  1.42548
inmail.58348     1  1.42422
inmail.61423     1  1.40772
inmail.42452     0  1.40747
