          id  spam  predict
   inmail.11     1  1.00000
inmail.31326     1  1.00000
inmail.30815     1  1.00000
inmail.30933     1  1.00000
inmail.30986     1  1.00000
inmail.31020     1  1.00000
inmail.31154     1  1.00000
inmail.31217     1  1.00000
inmail.31218     1  1.00000
inmail.31227     1  1.00000
inmail.31498     1  1.00000
inmail.30786     1  1.00000
inmail.31565     1  1.00000
inmail.31610     1  1.00000
inmail.31649     1  1.00000
inmail.31652     0  1.00000
inmail.31766     1  1.00000
inmail.31772     1  1.00000
inmail.31853     1  1.00000
inmail.31864     1  1.00000
