          id  spam  predict
inmail.30786     1  1.00000
inmail.61392     1  1.00000
inmail.70362     1  1.00000
inmail.69659     1  1.00000
inmail.69670     1  1.00000
inmail.69683     1  1.00000
inmail.69685     1  1.00000
inmail.69687     1  1.00000
inmail.69799     1  1.00000
inmail.74339     1  1.00000
inmail.69907     1  1.00000
inmail.70005     1  1.00000
inmail.70006     1  1.00000
inmail.70299     1  1.00000
inmail.70353     1  1.00000
inmail.70355     1  1.00000
inmail.70361     1  1.00000
inmail.70366     1  1.00000
inmail.70478     1  1.00000
inmail.70492     1  1.00000
