          id  spam  predict
inmail.45523     1  1.00000
inmail.39924     1  1.00000
inmail.40738     1  1.00000
inmail.40409     1  1.00000
inmail.40301     1  1.00000
 inmail.1126     1  1.00000
inmail.40285     1  1.00000
inmail.39979     1  1.00000
inmail.39954     1  1.00000
inmail.39930     1  1.00000
inmail.39884     1  1.00000
 inmail.9712     1  1.00000
inmail.39793     1  1.00000
inmail.39689     1  1.00000
inmail.39645     1  1.00000
inmail.39407     1  1.00000
inmail.39367     1  1.00000
inmail.39245     1  1.00000
inmail.39078     1  1.00000
inmail.39063     1  1.00000
